150.09,-36.087
150.16,-36.031
150.16,-35.885
150.24,-35.796
150.25,-35.723
150.33,-35.643
150.42,-35.541
150.45,-35.418
150.49,-35.308
150.57,-35.207
150.7,-35.203
150.74,-35.136
150.69,-35.032
150.79,-35.059
150.84,-35.061
150.78,-34.98
150.76,-34.899
150.78,-34.808
150.86,-34.701
150.91,-34.606
150.81,-34.544
150.88,-34.537
150.91,-34.424
150.96,-34.298
151.05,-34.203
151.16,-34.12
151.18,-34.044
151.17,-34.021
151.16,-34.002
151.24,-34.007
151.3,-33.892
151.26,-33.832
151.31,-33.74
151.34,-33.623
151.3,-33.629
151.22,-33.61
151.25,-33.546
151.38,-33.54
151.46,-33.465
151.5,-33.36
151.45,-33.319
151.54,-33.306
151.57,-33.267
151.64,-33.151
151.7,-33.047
151.78,-32.948
151.86,-32.864
152,-32.812
152.14,-32.771
152.12,-32.725
152.14,-32.669
152.21,-32.669
152.31,-32.584
152.41,-32.497
152.55,-32.443
152.55,-32.321
152.57,-32.201
152.53,-32.096
152.6,-31.977
152.69,-31.884
152.76,-31.8
152.83,-31.692
152.87,-31.566
152.95,-31.471
152.97,-31.342
152.98,-31.208
153.05,-31.096
153.05,-30.986
153.06,-30.897
153,-30.784
153.01,-30.642
153.04,-30.504
153.09,-30.386
153.15,-30.273
153.2,-30.16
153.2,-30.024
153.27,-29.911
153.29,-29.791
153.32,-29.668
153.34,-29.535
153.37,-29.398
153.36,-29.272
153.43,-29.163
153.45,-29.041
153.53,-28.939
153.61,-28.837
153.62,-28.699
153.57,-28.584
153.57,-28.433
153.59,-28.283
153.53,-28.181
153.45,-28.08
153.43,-27.956
153.43,-27.931
153.43,-27.806
153.36,-27.743
153.31,-27.622
153.26,-27.494
153.17,-27.42
153.09,-27.331
153.12,-27.236
153.04,-27.169
153.14,-27.089
153.19,-27.031
153.14,-26.905
153.14,-26.786
153.11,-26.667
153.11,-26.519
153.13,-26.378
153.08,-26.271
153.12,-26.134
153.17,-26.006
153.14,-25.943
153.07,-25.829
153.05,-25.924
153.04,-25.894
152.99,-25.772
